Episode,Winrate
1,0.0
2,50.0
3,66.66666666666666
4,50.0
5,40.0
6,33.33333333333333
7,28.57142857142857
8,37.5
9,44.44444444444444
10,40.0
11,36.36363636363637
12,41.66666666666667
13,46.15384615384615
14,42.857142857142854
15,40.0
16,37.5
17,35.294117647058826
18,33.33333333333333
19,31.57894736842105
20,30.0
21,28.57142857142857
22,27.27272727272727
23,30.434782608695656
24,29.166666666666668
25,28.000000000000004
26,26.923076923076923
27,25.925925925925924
28,25.0
29,24.137931034482758
30,23.333333333333332
31,22.58064516129032
32,21.875
33,24.242424242424242
34,26.47058823529412
35,25.71428571428571
36,25.0
37,24.324324324324326
38,23.684210526315788
39,25.64102564102564
40,25.0
41,24.390243902439025
42,26.190476190476193
43,25.581395348837212
44,25.0
45,24.444444444444443
46,26.08695652173913
47,25.53191489361702
48,25.0
49,24.489795918367346
50,24.0
