Episode,Winrate
1,0.0
2,0.0
3,33.33333333333333
4,25.0
5,20.0
6,33.33333333333333
7,28.57142857142857
8,25.0
9,22.22222222222222
10,20.0
11,27.27272727272727
12,33.33333333333333
13,30.76923076923077
14,28.57142857142857
15,33.33333333333333
16,37.5
17,35.294117647058826
18,33.33333333333333
19,36.84210526315789
20,35.0
21,33.33333333333333
22,31.818181818181817
23,30.434782608695656
24,29.166666666666668
25,28.000000000000004
26,26.923076923076923
27,25.925925925925924
28,28.57142857142857
29,27.586206896551722
30,30.0
31,29.03225806451613
32,28.125
33,27.27272727272727
34,29.411764705882355
35,28.57142857142857
36,30.555555555555557
37,29.72972972972973
38,28.947368421052634
39,28.205128205128204
40,27.500000000000004
41,26.82926829268293
42,26.190476190476193
43,27.906976744186046
44,27.27272727272727
45,26.666666666666668
46,28.26086956521739
47,27.659574468085108
48,27.083333333333332
49,28.57142857142857
50,28.000000000000004
