Episode,Winrate
1,0.0
2,0.0
3,33.33333333333333
4,25.0
5,20.0
6,16.666666666666664
7,14.285714285714285
8,25.0
9,33.33333333333333
10,30.0
11,27.27272727272727
12,25.0
13,30.76923076923077
14,28.57142857142857
15,26.666666666666668
16,25.0
17,23.52941176470588
18,22.22222222222222
19,26.31578947368421
20,25.0
21,28.57142857142857
22,27.27272727272727
23,26.08695652173913
24,25.0
25,28.000000000000004
26,26.923076923076923
27,29.629629629629626
28,28.57142857142857
29,27.586206896551722
30,26.666666666666668
31,25.806451612903224
32,25.0
33,24.242424242424242
34,26.47058823529412
35,25.71428571428571
36,25.0
37,24.324324324324326
38,23.684210526315788
39,23.076923076923077
40,22.5
41,21.951219512195124
42,21.428571428571427
43,20.930232558139537
44,20.454545454545457
45,20.0
46,19.565217391304348
47,19.148936170212767
48,20.833333333333336
49,20.408163265306122
50,22.0
